,bed57,bed07
0,3139.8884025795633,3196.7517818670185
1,2855.213936309088,2926.3704944978717
2,2736.0970299067894,2809.265291669676
3,2750.570382590187,2803.367749230339
4,2652.771460516572,2677.1951879927624
5,2538.9132198130883,2561.466703900622
6,2423.019630279017,2465.898462425898
7,2217.2563628500093,2282.2932058555784
8,1895.79907872284,1905.191461367834
9,1802.3717981489408,1836.9913867048163
10,1737.398972670011,1793.9382932309918
11,1676.6215637815908,1682.3165796763974
12,1974.7334522891415,1998.0700737999646
13,2083.6736104841084,2111.4203776487157
14,1851.7441355890387,1858.5599023701984
15,1704.4822636060499,1698.3336772815028
16,1753.442385904153,1741.9642481056967
17,1833.8905724656015,1840.3266048125674
18,1806.4915554942709,1826.922143093453
19,1839.4250152536406,1859.7936918993973
20,1810.3219071979565,1833.62377018316
21,1844.435755196028,1869.1728575970737
22,1656.139335881142,1709.4283572212707
23,1530.0464054560425,1574.479737476176
24,1509.3358942411942,1567.0231708665247
25,1295.8610652541356,1352.8397678115625
26,1258.6170384594197,1318.3269526393192
27,1128.2924033223253,1183.9934917820133
28,1395.2376153113423,1447.7368536499416
29,1335.8928855145255,1387.5989867644862
30,1326.7969108645561,1373.2940437653392
31,1414.0987114231948,1458.4114835306477
32,1465.3411403057794,1507.9800872518526
33,1460.8111065782673,1519.4577079960595
34,1355.0203786138022,1413.9913721071148
35,1334.3764339985587,1384.3933075858279
36,1177.079874032333,1198.151782215563
37,831.0358329399251,848.2058831110498
38,797.2782386892225,833.2097024438456
39,1262.489545941703,1293.232935476846
40,1315.6697366510225,1336.65480646004
41,1101.2765183222875,1123.0354886183545
42,1154.319231110721,1177.2507483723255
43,703.1498436897818,723.9187588680584
44,770.0833097580098,795.0985466077907
45,716.5556726216978,727.1790186756004
46,636.8665846374031,650.7826614770181
47,728.0808760661232,743.6637800007456
48,951.6413770557504,969.6377759400812
49,1070.9960224117049,1095.9573618589845
50,1104.1553861669502,1129.3218525424506
51,1050.1468109847779,1080.704619332908
52,959.3902974560074,983.627741732138
53,905.1347541483958,929.3476557621609
54,889.7785287827301,914.6670897056249
55,931.3970815395489,954.6961565219306
56,1019.7550962292817,1031.9606252581248
57,937.2878053699962,953.9005485999451
58,1232.071673550955,1252.9219037557177
59,1425.436793873991,1439.6224724264068
60,1513.9961892045528,1530.8909890001642
61,1505.7335993017452,1543.6568356918115
62,1363.0359044406441,1421.3861381591948
63,1154.7177889139477,1208.4031610618913
64,1051.588591611213,1098.3908605992708
65,983.3868285096532,1033.416691915827
66,985.0748988569508,1031.158929956138
67,1019.2468460892362,1061.8566809533572
68,1028.3220920870135,1070.6890779634834
69,958.2476081896723,1015.0600234254462
70,784.2871207103699,842.4900015276735
71,747.5358775337477,809.7816550747227
72,623.4032225694496,698.2093939698666
73,570.341012399392,638.8793727896427
74,826.1844004157574,887.1298394200128
75,819.1921777973207,932.1572769318666
76,660.1286771412588,797.9370129080692
77,477.3923164458042,624.9172963232836
78,94.68252487438212,278.0144142887152
79,-320.2815485430617,-148.46255015053885
80,-319.8199897137872,-149.3567042144773
81,-303.20395487242286,-140.95041881201018
82,-189.5566676525077,-20.96873683907984
83,-176.1184076437878,2.643105621005134
84,-218.99669870796924,-26.603241096290162
85,-291.1768676878505,-91.96062434478699
86,-372.36966070963035,-172.50176264997265
87,-424.78150348521694,-230.98941234923416
88,-404.3393574812519,-202.69670743988775
89,-452.4842071914568,-240.13328734487072
90,-475.482890996324,-250.8187986089472
91,-631.5405098005762,-402.5993571586388
92,-603.0219461443074,-374.1929374694464
93,-542.6330610894813,-316.7534869286558
94,-536.2647946501611,-298.819703359021
95,-534.8058811393817,-287.25307991958573
96,-468.22927823961237,-222.64685595556261
97,-456.2563732880751,-199.95265737645536
98,-483.9766370777327,-217.9348011110552
99,-622.3620472429438,-338.45258211691237
100,-677.7567154662772,-385.8805028664021
101,-709.0065571747987,-421.76018928048865
102,-829.0806783128826,-534.4363326143213
103,-820.4676839781847,-516.8451873046229
104,-711.7212703978082,-399.80360617570034
105,-772.0241835280989,-451.6317171005892
106,-860.551000673029,-522.2115296527681
107,-893.6643119245047,-548.8469354315969
108,-838.9768419165314,-503.81475357108434
109,-769.1704866173686,-450.4785500846499
110,-730.4324249764225,-402.67074334581554
111,-661.7309664114903,-326.06698209734134
112,-737.016274360476,-390.0177729328452
113,-755.4326594575601,-408.15251569638843
114,-784.7580523156757,-446.15944279772015
115,-766.4275808732084,-428.07082118269136
116,-753.9885240458116,-410.7503550783251
117,-880.3826173670716,-517.2750016105397
118,-928.346828204159,-559.4851370686677
119,-869.9009351810001,-510.9365912738522
120,-704.2828102774822,-362.98725450481396
121,-709.3922640082833,-363.3500560635916
122,-626.8639242374165,-274.76457035715623
123,-538.8803995960343,-190.01308597502293
124,-449.3706328253107,-95.0288894567301
125,-404.8405753297161,-45.472399164789095
126,-454.9584662154606,-98.56980040857101
127,-382.36283472127036,-29.958422216294025
128,-333.58383179004477,13.536024441379027
129,-306.17023532585074,53.0185623171528
130,-408.8860681408536,-21.984021540210364
131,-500.6159307899899,-85.86944752877204
132,-713.8281231573926,-252.2785092735063
133,-825.0235200703816,-359.5838491695944
134,-812.3956368058914,-338.420389176229
135,-810.2862923916305,-340.3794335894198
136,-853.4845532693134,-379.88477730134025
137,-934.8545567005025,-437.56479756666363
138,-993.2540016995291,-496.1843419981682
139,-1059.8208746529199,-570.1794293737047
140,-1174.0690995028717,-684.0007196300744
141,-1336.0389833202871,-835.4183178533887
142,-1524.1515069806626,-1031.3739812105466
